Restaurant Name,Restaurant Cuisines,Average cost for two,Price Range,Online Delivery,Table Booking,Bogo Offers,User Aggregate Rating,Rating Text,User Votes
Angithi,"North Indian, Chinese",900,2,1,0,True,3.7,Good,699
Domino's Pizza,"Pizza, Fast Food",600,2,0,0,True,3.2,Average,455
The Kylin Experience - Holiday Inn,"Japanese, Chinese, Asian, Thai",1800,3,1,0,True,4.0,Very Good,335
Mitra Di Chaap,"North Indian, Fast Food, Rolls",350,1,1,0,True,3.5,Good,422
Subway,"Healthy Food, Salad, Fast Food",500,2,1,0,True,3.5,Good,400
MOC - The American Restaurant,"American, Fast Food, Burger, Beverages",400,1,1,0,True,4.1,Very Good,476
The Delhi Munchery,"North Indian, Kebab",350,1,1,0,True,4.0,Very Good,293
Neel Giri's,"South Indian, North Indian, Chinese",600,2,1,0,True,3.4,Average,386
Baked Buns,"Fast Food, Pizza, Burger",400,1,1,0,True,3.4,Average,413
Ministry Of Beer,"Continental, Italian, Asian, Indian",1500,3,0,1,True,4.9,Excellent,1899
The Darzi Bar & Kitchen,"North Indian, European",1500,3,0,1,True,4.3,Very Good,2268
Local,"North Indian, Continental",1600,3,0,1,True,4.0,Very Good,2858
Lord of the Drinks,"European, Chinese, North Indian, Italian",2200,4,0,1,True,4.3,Very Good,6289
Warehouse Cafe,"American, Continental, Italian, North Indian, Asian, Salad, Juices",1500,3,0,1,True,4.2,Very Good,7321
The G.T. Road,"North Indian, Mughlai",1500,3,0,1,True,4.1,Very Good,1879
ERA - Bar And Lounge,"Australian, British, Chinese, Thai, Italian, North Indian",1600,3,0,1,True,4.4,Very Good,1009
Odeon Social,"Continental, American, Asian, North Indian",1300,3,1,0,True,4.1,Very Good,3881
Master Of Malts,"Continental, North Indian, Chinese, European, Asian",1600,3,0,1,True,4.5,Excellent,1773
Burger King,"Burger, Fast Food",500,2,1,0,True,3.7,Good,559
Haldiram's,"North Indian, Mithai, South Indian, Fast Food, Street Food, Chinese, Desserts",350,1,0,0,True,3.7,Good,492
Kebab Xpress,"North Indian, Mughlai, Rolls, Biryani",650,2,1,0,True,3.7,Good,724
Domino's Pizza,"Pizza, Fast Food",600,2,0,0,True,3.6,Good,616
Berco's,"Chinese, Thai",1100,3,1,1,True,3.6,Good,689
BTW,"South Indian, Street Food, Mithai",400,1,1,0,True,3.5,Good,487
The Beer Cafe,"North Indian, Italian",1200,3,0,1,True,3.7,Good,395
PIND BALLUCHI,"North Indian, Mughlai, Kebab",1000,3,1,1,True,3.4,Average,643
Mosaic - Crowne Plaza,"Italian, Chinese, North Indian",3000,4,0,1,True,3.6,Good,392
Marine Drivve - Club & Courtyard,"Continental, Italian, North Indian, Chinese",1300,3,0,1,True,4.5,Excellent,1534
Decode,"Modern Indian, Finger Food",1200,3,0,1,True,4.4,Very Good,1394
Ghar Bistro Cafe,"Cafe, Chinese, Mughlai, Kebab, North Indian",1000,3,1,1,True,4.6,Excellent,1244
Duty Free,"Continental, Mexican, North Indian",900,2,0,1,True,3.8,Good,1651
Too Indian,"North Indian, Continental",1200,3,1,1,True,3.9,Good,1536
Jungle Jamboree,"North Indian, Continental, Chinese, Italian, Thai, Mughlai",1200,3,0,1,True,4.2,Very Good,1008
Dhaba - A Punjabi Theme,"Chinese, North Indian, Kebab",1500,3,1,1,True,4.4,Very Good,1050
TFIF - The Future is Female,"North Indian, Chinese, Continental",1000,3,0,1,True,4.8,Excellent,206
Imly,"Street Food, North Indian, Chinese, Continental, Juices",700,2,1,1,True,3.7,Good,1670
Handiwala,"North Indian, Mughlai, Biryani",900,2,1,1,True,4.6,Excellent,1147
Desi Vibes,"North Indian, Mughlai, Kebab",1400,3,1,1,True,4.3,Very Good,2914
Imperfecto,"Mediterranean, Italian, Continental, Spanish, North Indian, Asian",1800,3,0,1,True,3.9,Good,1523
Chili's Grill & Bar,"Mexican, American, Italian",1500,3,1,1,True,4.0,Very Good,1889
Time Machine,"North Indian, Continental, Chinese, Italian, Finger Food",2000,4,1,1,True,4.0,Very Good,964
SodaBottleOpenerWala,"Parsi, Iranian, Indian",1300,3,1,0,True,4.1,Very Good,1823
Domino's Pizza,"Pizza, Fast Food",600,2,0,0,True,3.6,Good,1056
Pirates of Grill,"North Indian, Continental, Mughlai, Asian",1800,3,0,0,True,3.9,Good,1760
Jokers,"North Indian, Continental, Chinese, Italian",2000,4,0,1,True,4.0,Very Good,829
Foodzilla,"North Indian, Fast Food",700,2,1,0,True,3.6,Good,759
Domino's Pizza,"Pizza, Fast Food",600,2,0,0,True,2.6,Average,669
Domino's Pizza,"Pizza, Fast Food",600,2,0,0,True,3.6,Good,575
Taste Of Dilli,"North Indian, Chinese",500,2,1,0,True,3.4,Average,528
Rubaab Restaurant,"North Indian, Mughlai, Chinese",600,2,1,0,True,3.2,Average,382
The Royal Kitchen,"North Indian, Chinese, Continental",400,1,1,0,True,3.7,Good,454
Saffron The Restaurant,"North Indian, Chinese",600,2,1,0,True,3.3,Average,405
Kathi Junction,"Fast Food, Rolls, North Indian, Mughlai",300,1,1,0,True,3.3,Average,464
Barbeque Nation,"North Indian, Chinese, BBQ",1600,3,0,0,True,3.9,Good,248
The Drunken Botanist,"Continental, Italian, Chinese, North Indian",1500,3,0,0,True,4.3,Very Good,1624
Cyber Hub Social,"Continental, American, Asian, North Indian",1300,3,1,0,True,4.2,Very Good,2184
Punjab Grill,"North Indian, Mughlai, Kebab",2000,4,1,1,True,4.4,Very Good,3110
Asia Seven,"Chinese, Japanese, Thai, Seafood",1800,3,1,1,True,4.2,Very Good,1039
Soi 7 Pub & Brewery,"Chinese, Thai, Japanese, Asian, Pizza",2100,4,0,1,True,4.2,Very Good,4492
Pra Pra Prank,"Asian, Modern Indian",2100,4,0,0,True,4.1,Very Good,783
Chili's Grill & Bar,"Mexican, American, Italian",1500,3,1,1,True,4.2,Very Good,2734
Zambar,"South Indian, Seafood, Kerala",1400,3,1,1,True,4.3,Very Good,1512
Farzi Cafe,Modern Indian,2200,4,0,1,True,4.2,Very Good,5353
The Reader's Cafe,Cafe,1000,3,1,0,True,4.4,Very Good,1011
Paprika Park,"North Indian, Chinese, Mughlai",1300,3,0,0,True,4.2,Very Good,793
Haristo Cafe & Pizzeria,"Italian, Mediterranean, Lebanese, Pizza",800,2,1,1,True,3.9,Good,1329
Burger King,"Burger, Fast Food",500,2,1,0,True,3.6,Good,847
Time Out Cafe,"Cafe, Fast Food, Italian, Chinese, Burger",650,2,1,0,True,3.7,Good,914
Chick Chicken Barbeque,"North Indian, Mughlai, Chinese, BBQ",750,2,1,0,True,2.9,Average,849
Clubate,"North Indian, Chinese, Thai, Greek, Italian",600,2,1,1,True,4.7,Excellent,210
Mystery of Food,"North Indian, Chinese",1600,3,1,1,True,3.6,Good,738
Hutkar Burger and Ice Creams,"Fast Food, Chinese, Desserts",500,2,1,0,True,3.5,Good,846
Tama Brewery & World Kitchen,"Asian, Chinese, European, Indian",1500,3,0,0,True,4.6,Excellent,726
Pizza Live,Pizza,300,1,1,0,True,3.6,Good,1196
Cafe Parmesan,Italian,1000,3,0,0,True,4.2,Very Good,1229
Mad 4 Bar B Que,"Biryani, North Indian, Chinese, BBQ, Mughlai, Rolls, Indian",750,2,1,0,True,3.8,Good,937
Chickenette,"Raw Meats, North Indian, Chinese, Fast Food, Rolls",750,2,1,0,True,3.6,Good,680
RP's Standard Punjabi Khana,"North Indian, Chinese",500,2,1,0,True,3.5,Good,544
KFC,"Burger, Fast Food",500,2,1,0,True,2.7,Average,428
Haldiram's,"North Indian, South Indian, Chinese, Street Food, Fast Food, Mithai, Desserts",600,2,0,0,True,3.8,Good,367
Hunger Cure,"Fast Food, Chinese",500,2,1,0,True,3.6,Good,480
Pistawala Sweets & Snacks,"Street Food, Mithai",200,1,0,0,True,2.8,Average,8
TLC Kitchen,Healthy Food,600,2,0,0,True,2.8,Average,7
Crunchy Burger Restro Cafe,"Burger, Chinese, Sandwich, Wraps",0,1,0,0,True,0,Not rated,2
Milk Point,"Mithai, Fast Food",200,1,0,0,True,0,Not rated,0
China Kitchen,Chinese,400,1,0,0,True,0,Not rated,0
Boa Village,"Chinese, Japanese, Korean, Asian",1500,3,0,1,True,4.0,Very Good,1183
KFC,"Burger, Fast Food",500,2,1,0,True,3.6,Good,841
Berco's,"Chinese, Thai",1100,3,1,1,True,3.7,Good,1169
Domino's Pizza,"Pizza, Fast Food",600,2,0,0,True,3.6,Good,608
McDonald's,"Burger, Fast Food",500,2,1,0,True,3.6,Good,444
1UP,"Cafe, Italian, Continental",1200,3,1,1,True,3.6,Good,392
Giani's,"Ice Cream, Desserts",300,1,1,0,True,3.7,Good,307
Bistro 57,"Fast Food, Beverages",250,1,0,0,True,4.2,Very Good,312
Shawarma Wala,"Fast Food, Rolls",300,1,1,0,True,3.6,Good,336
Burger King,"Burger, Fast Food",500,2,1,0,True,3.7,Good,559
Haldiram's,"North Indian, Mithai, South Indian, Fast Food, Street Food, Chinese, Desserts",350,1,0,0,True,3.7,Good,492
Kebab Xpress,"North Indian, Mughlai, Rolls, Biryani",650,2,1,0,True,3.7,Good,724
Domino's Pizza,"Pizza, Fast Food",600,2,0,0,True,3.6,Good,616
Berco's,"Chinese, Thai",1100,3,1,1,True,3.6,Good,689
BTW,"South Indian, Street Food, Mithai",400,1,1,0,True,3.5,Good,487
The Beer Cafe,"North Indian, Italian",1200,3,0,1,True,3.7,Good,395
PIND BALLUCHI,"North Indian, Mughlai, Kebab",1000,3,1,1,True,3.4,Average,643
Mosaic - Crowne Plaza,"Italian, Chinese, North Indian",3000,4,0,1,True,3.6,Good,392
BRYC Cafe & Restaurant,"North Indian, Chinese",250,1,1,0,True,3.7,Good,478
Domino's Pizza,"Pizza, Fast Food",600,2,0,0,True,3.4,Average,372
Bunny's Bite N Sip,"North Indian, Chinese",400,1,1,0,True,3.5,Good,325
Aahar Mantra,"North Indian, Fast Food, Chinese",300,1,1,0,True,3.5,Good,153
Chilis Treat,"North Indian, Chinese",400,1,1,0,True,3.4,Average,130
Rana's 3H Haveli,"North Indian, Chinese",400,1,1,0,True,3.1,Average,80
Foodie Step,"Chinese, Fast Food",400,1,1,0,True,3.3,Average,71
Bikaner Sweets,"Mithai, Chinese, Street Food, South Indian",300,1,0,0,True,3.0,Average,6
SGF - Spice Grill Flame,North Indian,500,2,0,0,True,3.2,Average,68
India Kitchen,"North Indian, Continental, Chinese",1000,3,1,0,True,4.3,Very Good,1986
The Feast House,"Continental, North Indian, American, Italian, Mexican",1050,3,1,1,True,4.0,Very Good,1691
Imly,"Street Food, North Indian, Chinese, Continental, Juices",700,2,1,1,True,3.6,Good,2851
Lanterns Kitchen & Bar,"Italian, North Indian, Chinese, Mughlai",1200,3,0,1,True,4.1,Very Good,1644
Changezi Chicken,"North Indian, Mughlai",650,2,1,0,True,3.7,Good,749
Fish & Chips,"Biryani, Mughlai, North Indian, Chinese",500,2,1,0,True,3.7,Good,752
Roshan Di Kulfi,"Street Food, North Indian, South Indian, Desserts",500,2,1,0,True,3.7,Good,1212
Art of Spices,"Fast Food, North Indian, Mughlai, Rolls",500,2,1,0,True,3.8,Good,1106
Burger King,"Burger, Fast Food",500,2,1,0,True,3.6,Good,566
Ministry Of Beer,"Continental, Italian, Asian, Indian",1500,3,0,1,True,4.9,Excellent,1899
The Darzi Bar & Kitchen,"North Indian, European",1500,3,0,1,True,4.3,Very Good,2268
Warehouse Cafe,"American, Continental, Italian, North Indian, Asian, Salad, Juices",1500,3,0,1,True,4.2,Very Good,7321
Lord of the Drinks,"European, Chinese, North Indian, Italian",2200,4,0,1,True,4.3,Very Good,6289
ERA - Bar And Lounge,"Australian, British, Chinese, Thai, Italian, North Indian",1600,3,0,1,True,4.4,Very Good,1009
Odeon Social,"Continental, American, Asian, North Indian",1300,3,1,0,True,4.1,Very Good,3881
Saravana Bhavan,South Indian,500,2,0,0,True,4.1,Very Good,6625
Farzi Cafe,Modern Indian,2200,4,0,1,True,4.3,Very Good,3355
Open House Cafe,"North Indian, Chinese, Italian, Biryani",1700,3,0,1,True,4.0,Very Good,3582
